wrapperType|kind|artistId|collectionId|trackId|artistName|collectionName|trackName|collectionCensoredName|trackCensoredName|collectionArtistId|collectionArtistName|artistViewUrl|collectionViewUrl|trackViewUrl|previewUrl|artworkUrl30|artworkUrl60|artworkUrl100|collectionPrice|trackPrice|releaseDate|collectionExplicitness|trackExplicitness|discCount|discNumber|trackCount|trackNumber|trackTimeMillis|country|currency|primaryGenreName|isStreamable|collectionArtistViewUrl
track|song|7420827|1440762051|1440762223|Ludovico Einaudi|Una Mattina|Dietro Casa|Una Mattina|Dietro Casa|||https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/dietro-casa/1440762051?i=1440762223&uo=4|https://music.apple.com/us/album/dietro-casa/1440762051?i=1440762223&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/e9/3a/89/e93a8944-ac2f-83c3-528d-dcfc090f97d3/mzaf_6194328085382610613.plus.aac.p.m4a|https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/ea/44/86/ea448600-257f-670f-7f06-332e02b42abc/06UMGIM59381.rgb.jpg/30x30bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/ea/44/86/ea448600-257f-670f-7f06-332e02b42abc/06UMGIM59381.rgb.jpg/60x60bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/ea/44/86/ea448600-257f-670f-7f06-332e02b42abc/06UMGIM59381.rgb.jpg/100x100bb.jpg|11.99|1.29|2004-01-01T12:00:00Z|notExplicit|notExplicit|1|1|13|7|229827|USA|USD|Classical|True|
track|song|7420827|1452504769|1452505144|Ludovico Einaudi|Divenire|Ritornare|Divenire|Ritornare|||https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/ritornare/1452504769?i=1452505144&uo=4|https://music.apple.com/us/album/ritornare/1452504769?i=1452505144&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/cf/d4/40/cfd44034-c33f-6da8-b540-7db66626e9d8/mzaf_7306842903330600866.plus.aac.p.m4a|https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/2c/86/bc/2c86bcb8-2ff2-f0a1-f157-976f5c85159a/06UMGIM37884.rgb.jpg/30x30bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/2c/86/bc/2c86bcb8-2ff2-f0a1-f157-976f5c85159a/06UMGIM37884.rgb.jpg/60x60bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/2c/86/bc/2c86bcb8-2ff2-f0a1-f157-976f5c85159a/06UMGIM37884.rgb.jpg/100x100bb.jpg|9.99|1.29|2006-01-01T12:00:00Z|notExplicit|notExplicit|1|1|12|11|532000|USA|USD|Classical|True|
track|song|7420827|1452504769|1452505137|Ludovico Einaudi|Divenire|Ascolta|Divenire|Ascolta|||https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/ascolta/1452504769?i=1452505137&uo=4|https://music.apple.com/us/album/ascolta/1452504769?i=1452505137&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/fa/8d/88/fa8d88c0-b6e3-a923-6671-6332161b84e1/mzaf_13091678559823505328.plus.aac.p.m4a|https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/2c/86/bc/2c86bcb8-2ff2-f0a1-f157-976f5c85159a/06UMGIM37884.rgb.jpg/30x30bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/2c/86/bc/2c86bcb8-2ff2-f0a1-f157-976f5c85159a/06UMGIM37884.rgb.jpg/60x60bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/2c/86/bc/2c86bcb8-2ff2-f0a1-f157-976f5c85159a/06UMGIM37884.rgb.jpg/100x100bb.jpg|9.99|1.29|2006-01-01T12:00:00Z|notExplicit|notExplicit|1|1|12|10|288733|USA|USD|Classical|True|
track|song|7420827|1452504769|1452505153|Ludovico Einaudi|Divenire|Svanire|Divenire|Svanire|||https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/svanire/1452504769?i=1452505153&uo=4|https://music.apple.com/us/album/svanire/1452504769?i=1452505153&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/02/23/6b/02236b89-3299-26e9-166d-0298e3ed3f4c/mzaf_8566214841848162030.plus.aac.p.m4a|https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/2c/86/bc/2c86bcb8-2ff2-f0a1-f157-976f5c85159a/06UMGIM37884.rgb.jpg/30x30bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/2c/86/bc/2c86bcb8-2ff2-f0a1-f157-976f5c85159a/06UMGIM37884.rgb.jpg/60x60bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/2c/86/bc/2c86bcb8-2ff2-f0a1-f157-976f5c85159a/06UMGIM37884.rgb.jpg/100x100bb.jpg|9.99|1.29|2006-01-01T12:00:00Z|notExplicit|notExplicit|1|1|12|12|448560|USA|USD|Classical|True|
track|song|7420827|1452504769|1452504889|Ludovico Einaudi|Divenire|Rose|Divenire|Rose|||https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/rose/1452504769?i=1452504889&uo=4|https://music.apple.com/us/album/rose/1452504769?i=1452504889&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/56/0b/5b/560b5b5c-666f-5010-7a2b-930fd4375cfa/mzaf_3789092796465891586.plus.aac.p.m4a|https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/2c/86/bc/2c86bcb8-2ff2-f0a1-f157-976f5c85159a/06UMGIM37884.rgb.jpg/30x30bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/2c/86/bc/2c86bcb8-2ff2-f0a1-f157-976f5c85159a/06UMGIM37884.rgb.jpg/60x60bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/2c/86/bc/2c86bcb8-2ff2-f0a1-f157-976f5c85159a/06UMGIM37884.rgb.jpg/100x100bb.jpg|9.99|1.29|2006-01-01T12:00:00Z|notExplicit|notExplicit|1|1|12|5|256227|USA|USD|Classical|True|
track|song|7420827|1440749051|1440749909|Ludovico Einaudi|Islands - Essential Einaudi|Primavera|Islands - Essential Einaudi|Primavera|||https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/primavera/1440749051?i=1440749909&uo=4|https://music.apple.com/us/album/primavera/1440749051?i=1440749909&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/b7/f1/3a/b7f13a2d-f6b0-995c-5367-2d346c67e828/mzaf_17527784602406396873.plus.aac.p.m4a|https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/a6/1a/26/a61a26b7-b37f-f98d-c81a-102daee8cebc/11UMGIM13933.rgb.jpg/30x30bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/a6/1a/26/a61a26b7-b37f-f98d-c81a-102daee8cebc/11UMGIM13933.rgb.jpg/60x60bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/a6/1a/26/a61a26b7-b37f-f98d-c81a-102daee8cebc/11UMGIM13933.rgb.jpg/100x100bb.jpg|11.99|1.29|2006-01-01T12:00:00Z|notExplicit|notExplicit|1|1|27|10|443733|USA|USD|Classical|True|
track|song|7420827|1452504769|1452505065|Ludovico Einaudi|Divenire|Origine Nascosta|Divenire|Origine Nascosta|||https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/origine-nascosta/1452504769?i=1452505065&uo=4|https://music.apple.com/us/album/origine-nascosta/1452504769?i=1452505065&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/cd/75/2d/cd752d40-dae0-d3a6-66f6-f54e38367a70/mzaf_2995569763989734292.plus.aac.p.m4a|https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/2c/86/bc/2c86bcb8-2ff2-f0a1-f157-976f5c85159a/06UMGIM37884.rgb.jpg/30x30bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/2c/86/bc/2c86bcb8-2ff2-f0a1-f157-976f5c85159a/06UMGIM37884.rgb.jpg/60x60bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/2c/86/bc/2c86bcb8-2ff2-f0a1-f157-976f5c85159a/06UMGIM37884.rgb.jpg/100x100bb.jpg|9.99|1.29|2006-01-01T12:00:00Z|notExplicit|notExplicit|1|1|12|8|191907|USA|USD|Classical|True|
track|song|7420827|1451626902|1451626915|Ludovico Einaudi|Seven Days Walking: Day 1|Day 1: Matches|Seven Days Walking: Day 1|Day 1: Matches|||https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/day-1-matches/1451626902?i=1451626915&uo=4|https://music.apple.com/us/album/day-1-matches/1451626902?i=1451626915&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/47/c4/3b/47c43b4f-c448-07cc-57af-21e107fe1985/mzaf_15475714735640995734.plus.aac.p.m4a|https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/0f/c2/ed/0fc2ede6-21a2-f027-4897-d2b0421511d6/19UMGIM03423.rgb.jpg/30x30bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/0f/c2/ed/0fc2ede6-21a2-f027-4897-d2b0421511d6/19UMGIM03423.rgb.jpg/60x60bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/0f/c2/ed/0fc2ede6-21a2-f027-4897-d2b0421511d6/19UMGIM03423.rgb.jpg/100x100bb.jpg|11.99|1.29|2019-03-15T12:00:00Z|notExplicit|notExplicit|1|1|11|4|174309|USA|USD|Classical|True|
track|song|7420827|1440749051|1440750900|Ludovico Einaudi|Islands - Essential Einaudi|Fly|Islands - Essential Einaudi|Fly|||https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/fly/1440749051?i=1440750900&uo=4|https://music.apple.com/us/album/fly/1440749051?i=1440750900&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/66/37/92/66379228-9a1c-805e-a43c-62184cc4faeb/mzaf_2324847974866175746.plus.aac.p.m4a|https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/a6/1a/26/a61a26b7-b37f-f98d-c81a-102daee8cebc/11UMGIM13933.rgb.jpg/30x30bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/a6/1a/26/a61a26b7-b37f-f98d-c81a-102daee8cebc/11UMGIM13933.rgb.jpg/60x60bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/a6/1a/26/a61a26b7-b37f-f98d-c81a-102daee8cebc/11UMGIM13933.rgb.jpg/100x100bb.jpg|11.99|1.29|2006-01-01T12:00:00Z|notExplicit|notExplicit|1|1|27|26|278918|USA|USD|Classical|True|
track|song|7420827|1440749051|1440750020|Ludovico Einaudi|Islands - Essential Einaudi|Nefeli|Islands - Essential Einaudi|Nefeli|||https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/nefeli/1440749051?i=1440750020&uo=4|https://music.apple.com/us/album/nefeli/1440749051?i=1440750020&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/7c/ec/a0/7ceca06a-919f-1d4c-a891-5ec3d2ed16ef/mzaf_7620044376254009741.plus.aac.p.m4a|https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/a6/1a/26/a61a26b7-b37f-f98d-c81a-102daee8cebc/11UMGIM13933.rgb.jpg/30x30bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/a6/1a/26/a61a26b7-b37f-f98d-c81a-102daee8cebc/11UMGIM13933.rgb.jpg/60x60bb.jpg|https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/a6/1a/26/a61a26b7-b37f-f98d-c81a-102daee8cebc/11UMGIM13933.rgb.jpg/100x100bb.jpg|11.99|1.29|1999-10-22T12:00:00Z|notExplicit|notExplicit|1|1|27|11|269769|USA|USD|Classical|True|
